country,ambient_temp,non_peak_start,non_peak_end,non_peak_tariff,peak_tariff,per_kw,currency
Singapore,27.62,2300,700,0.1473,0.2436,10.9,SGD
Malaysia,28.04,2200,800,0.224,0.365,45.1,MYR
